id,wavelet_coif1_lh_level_3_invar_stat_p10,log_s_2.0_ih_skew_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_lrhge_2d_s_mrg_fbn_n32,log_s_1.0_cm_info_corr2_d1_2d_s_mrg_fbn_n32,log_s_2.0_cm_corr_d1_2d_s_mrg_fbn_n32,log_s_4.0_ih_skew_fbn_n32,log_s_1.0_cm_corr_d1_2d_s_mrg_fbn_n32,wavelet_coif1_lh_level_2_invar_cm_info_corr2_d1_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_rl_entr_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_stat_iqr,gabor_s_2.0_g_1.0_l_8.0_2D_ngl_dcnu_d1_a0.0_2d_fbn_n32,cm_diff_var_d16_2d_avg_fbn_n32,log_s_4.0_stat_skew
06867_02,0.3402558923170756,-0.342475125013049,597.4169380077767,0.7711602259893537,0.9109472685614152,-0.0998421691847323,0.681164887182861,0.7898139188889874,5.799496605443068,4.82986434763317,6990.86279873021,8.643624360043242,-0.0993070378923139
06867_03,0.3086797821791279,-0.1227510148882694,667.3309825009918,0.6913967610260309,0.8990526088740585,0.0638744554096393,0.6008179958129222,0.7201029325820156,5.819849342079945,6.385614370941566,7732.1431935187775,8.691963521305444,0.0638577157071518
06869_01,0.4889639342753644,-0.2247755424451275,512.0471858922705,0.6270724116558906,0.9235400633581716,-0.0586566336331428,0.5385456772486064,0.6760229756296875,5.574206754188531,3.633032376370615,8042.149066336119,11.34399908445618,-0.0579541273940069
06869_02,0.4614375525633637,-0.4525638031295906,634.9626844212436,0.6653070791234353,0.9350320303469154,-0.1935364147238367,0.5758185549927662,0.7180848179507673,5.735091903772067,5.065736210965191,8059.699178890306,15.894759571592342,-0.1932581271191363
06871_01,0.370263919847671,-0.2772644152558509,383.9205737672137,0.7975334840583173,0.9181782838468496,-0.3270592523873629,0.7230941684468439,0.8189120400207575,5.75662398825089,5.400924536078199,4356.763828576562,8.351331256519254,-0.3281345342471764
06871_02,0.3141562345263085,-0.2835536898774778,350.02802828934875,0.7508866407119937,0.9253023308200986,-0.2879813836142665,0.6747859244254993,0.795329909097567,5.754120005103329,5.185511185592154,6396.891818031899,16.40590043593238,-0.2883346570025141
06871_03,0.2517261442734154,-0.364513434353612,342.8758101374892,0.7800851430759891,0.9226439671216922,-0.3151673723082195,0.6991787609722369,0.7982859683813337,5.6977591894088615,3.993604225658012,5540.849854051577,9.489702421343896,-0.3166482106177838
06871_04,0.4699456518614793,-0.4527440683765947,407.01986225790495,0.7883547862748322,0.9258687065268122,-0.2717476244834447,0.7019490448673434,0.808583323648773,5.5732895278072805,5.444705222275128,6292.535024465619,13.074324033090852,-0.2723429826025501
06873_01,0.3654758282553217,-0.1406680469113088,655.3790596280713,0.8178798462215878,0.9306565244147452,-0.1753937799697321,0.736813148410792,0.8454216148891222,5.806889457370176,5.326084730731234,6706.945523817542,16.40654098218037,-0.1752389951257454
06875_01,0.2114911282243627,0.2468664909064915,431.5788693406224,0.6050465030235646,0.9042545647427914,0.1634310389715452,0.5325391395710148,0.6781617761691974,5.815292738995389,4.635341753149003,6862.886189698168,10.830203036081253,0.1635423028053154
06875_02,0.2563850143023152,0.0091972169524925,527.374311624976,0.7749977515948008,0.9237206832312144,0.0178016807971512,0.6984694129898105,0.8344037633162849,5.928820897572492,4.461806707843205,6302.828075468398,8.820269750421124,0.0166110849693757
06875_03,0.3511000322106448,-0.1563201318690444,508.53345617001946,0.7787847661381324,0.9203661191031438,-0.0535095765738217,0.6951599707388659,0.8203070401721977,5.866731615079657,4.439935621218504,6596.037910906298,9.581579354552389,-0.0523351006876236
06878_01,0.174822137856598,0.707582335745187,610.8012918447465,0.6916283739419534,0.9126493129169818,0.2334369644983208,0.6642388032931137,0.7643489860950831,6.312272346146648,4.186451023901783,6463.200653825765,12.30524394920854,0.2340774616605985
06878_02,0.2630559546839984,-0.1043791680728132,476.8302437785678,0.6489509464256221,0.911072758030189,-0.154885013142048,0.5725667030795762,0.7019258034958434,5.882468348621876,4.246329032783768,6894.825325765449,8.090329758505955,-0.1560417881150085
06880_01,0.1012199729663676,1.0722453889423351,357.98479606257007,0.636941873537626,0.910445238947438,0.519556257968661,0.6148600555788827,0.7209321988053018,6.071856892461979,3.0899380125441,6404.710012975303,4.863271933125597,0.5240154058131841
06880_02,0.1265234085650883,0.2922741741917261,546.3780099395319,0.7196568023902948,0.920846760791882,0.1895982099565891,0.6540319317958335,0.8140844865739807,6.140873660345815,5.82313379981326,6155.766916947946,11.11111537787334,0.1904687627317313
06880_03,0.1152956414290021,0.0400839089268033,447.2058841045798,0.6675648305767548,0.922876338936472,-0.1493839868453896,0.6022114137817007,0.7656580763991574,5.970384534639181,4.620297855687101,6391.336679469274,6.809608513932361,-0.1475618092519078
06880_04,0.1920654057553206,0.3059040715107831,461.7122005234548,0.6957780702192295,0.9213087107883104,0.1688312364339199,0.6343189709877934,0.7900357893107649,6.0958854882626685,5.404970754152572,6082.644273600905,8.551806022964781,0.1693850974051435
06880_05,0.1924657500402637,-0.0599957448173804,417.4939570791784,0.6300850830591816,0.9216868805391134,-0.0676835518535639,0.5558636974551693,0.724199237550824,5.934682511720641,6.2320627878368935,6982.324104034405,10.369131989042527,-0.0683474295926535
06880_06,0.1736060571832245,0.1461996743905689,362.1184770003866,0.715589569119723,0.925871766941668,-0.1076483358121205,0.6523833889093487,0.7991011862356208,5.896558043239879,5.058690218358587,6375.163413507955,8.322816160415034,-0.1083057675924431
06882_01,0.3739070220951745,-0.3679848460034154,647.774164550223,0.7305812512994003,0.9250317443343384,-0.191078438202767,0.6401570042855309,0.7689918116024267,5.804643682305153,5.737427675296708,6472.221930248691,13.185746367227416,-0.1932073853023551
06884_01,0.1696909774663054,0.3330075243300689,423.0983451809898,0.6584175971850996,0.9163453276538712,0.0888959073712695,0.6037598898581948,0.7441367475599628,6.116386200839292,4.959247640101227,6454.388850889193,8.647982115985613,0.0892051649803843
06884_02,0.24968450100929,-0.0532014976583426,504.4841894925327,0.6794298370165575,0.926916840104146,-0.1220079085519977,0.6046549033796887,0.7754524043183263,5.893426302762988,4.10287342883061,6713.612495662645,11.158044672273434,-0.1243904667434401
